size	stride	elapsed(s)	cycles
4096	1	0.000972	973
4096	2	0.000926	926
4096	4	0.000917	917
4096	8	0.000859	858
4096	16	0.000908	908
4096	32	0.000901	901
4096	64	0.000858	858
4096	128	0.000834	833
4096	256	0.000831	831
4096	512	0.000814	813
4096	1024	0.000759	758
4096	2048	0.000790	790
8192	1	0.001926	1927
8192	2	0.001850	1850
8192	4	0.001841	1841
8192	8	0.001790	1790
8192	16	0.001804	1804
8192	32	0.001828	1827
8192	64	0.001812	1812
8192	128	0.001692	1692
8192	256	0.001632	1632
8192	512	0.001655	1655
8192	1024	0.001624	1623
8192	2048	0.001677	1676
8192	4096	0.001726	1726
16384	1	0.003786	3786
16384	2	0.003692	3692
16384	4	0.003654	3654
16384	8	0.003580	3580
16384	16	0.003701	3701
16384	32	0.003695	3695
16384	64	0.003588	3588
16384	128	0.003571	3570
16384	256	0.003376	3376
16384	512	0.003289	3290
16384	1024	0.003270	3271
16384	2048	0.003475	3476
16384	4096	0.003560	3560
16384	8192	0.003405	3405
32768	1	0.007294	7294
32768	2	0.007281	7281
32768	4	0.007251	7251
32768	8	0.007084	7084
32768	16	0.007012	7011
32768	32	0.007350	7350
32768	64	0.007329	7329
32768	128	0.007208	7208
32768	256	0.007171	7171
32768	512	0.006708	6708
32768	1024	0.006568	6568
32768	2048	0.006727	6727
32768	4096	0.007225	7225
32768	8192	0.007117	7117
32768	16384	0.006807	6807
65536	1	0.013006	13006
65536	2	0.012474	12474
65536	4	0.013923	13923
65536	8	0.014642	14642
65536	16	0.014331	14331
65536	32	0.014276	14275
65536	64	0.012528	12529
65536	128	0.012278	12278
65536	256	0.012416	12416
65536	512	0.012634	12634
65536	1024	0.012178	12178
65536	2048	0.014361	14361
65536	4096	0.033002	33002
65536	8192	0.014460	14460
65536	16384	0.014238	14238
65536	32768	0.013613	13614
131072	1	0.026097	26098
131072	2	0.024989	24989
131072	4	0.028004	28004
131072	8	0.029338	29338
131072	16	0.028737	28737
131072	32	0.028783	28783
131072	64	0.026699	26699
131072	128	0.026584	26584
131072	256	0.027566	27566
131072	512	0.028651	28651
131072	1024	0.030216	30216
131072	2048	0.070853	70853
131072	4096	0.118889	118889
131072	8192	0.102889	102889
131072	16384	0.028895	28895
131072	32768	0.028465	28465
131072	65536	0.027245	27245
262144	1	0.052235	52235
262144	2	0.049918	49918
262144	4	0.056144	56145
262144	8	0.057809	57809
262144	16	0.056158	56158
262144	32	0.055567	55567
262144	64	0.054439	54439
262144	128	0.060132	60132
262144	256	0.069388	69388
262144	512	0.073009	73009
262144	1024	0.075901	75900
262144	2048	0.118183	118183
262144	4096	0.242349	242348
262144	8192	0.223117	223117
262144	16384	0.132511	132511
262144	32768	0.057807	57807
262144	65536	0.056948	56948
262144	131072	0.054477	54477
524288	1	0.104409	104409
524288	2	0.099658	99658
524288	4	0.112490	112490
524288	8	0.115161	115161
524288	16	0.111571	111571
524288	32	0.109414	109414
524288	64	0.109926	109927
524288	128	0.129636	129636
524288	256	0.157259	157259
524288	512	0.162655	162655
524288	1024	0.168689	168688
524288	2048	0.158252	158251
524288	4096	0.477567	477568
524288	8192	0.481426	481426
524288	16384	0.455449	455448
524288	32768	0.401058	401058
524288	65536	0.122701	122701
524288	131072	0.113887	113887
524288	262144	0.108943	108943
1048576	1	0.208740	208740
1048576	2	0.199067	199067
1048576	4	0.224964	224964
1048576	8	0.229371	229371
1048576	16	0.221961	221961
1048576	32	0.216516	216515
1048576	64	0.220503	220503
1048576	128	0.268891	268891
1048576	256	0.333132	333132
1048576	512	0.347290	347290
1048576	1024	0.354657	354658
1048576	2048	0.325790	325790
1048576	4096	0.933466	933466
1048576	8192	0.951013	951013
1048576	16384	1.018204	1018204
1048576	32768	0.972396	972396
1048576	65536	0.579423	579423
1048576	131072	0.239977	239977
1048576	262144	0.223359	223359
1048576	524288	0.213513	213513
2097152	1	0.408890	408890
2097152	2	0.390058	390058
2097152	4	0.440454	440455
2097152	8	0.449266	449266
2097152	16	0.444347	444347
2097152	32	0.432758	432759
2097152	64	0.437427	437427
2097152	128	0.526323	526323
2097152	256	0.664064	664064
2097152	512	0.696546	696546
2097152	1024	0.694780	694780
2097152	2048	0.641465	641465
2097152	4096	1.870214	1870214
2097152	8192	1.892868	1892868
2097152	16384	1.929090	1929090
2097152	32768	1.818498	1818497
2097152	65536	1.743954	1743954
2097152	131072	1.595018	1595018
2097152	262144	0.490779	490779
2097152	524288	0.455632	455632
2097152	1048576	0.435908	435908
4194304	1	0.834779	834779
4194304	2	0.796277	796277
4194304	4	0.900191	900191
4194304	8	0.918295	918295
4194304	16	0.889298	889298
4194304	32	0.872634	872633
4194304	64	0.901637	901637
4194304	128	1.115946	1115945
4194304	256	1.403107	1403106
4194304	512	1.498832	1498832
4194304	1024	1.493654	1493654
4194304	2048	1.427118	1427118
4194304	4096	3.710950	3710950
4194304	8192	3.805608	3805608
4194304	16384	3.791859	3791859
4194304	32768	3.737605	3737604
4194304	65536	3.735213	3735213
4194304	131072	3.474766	3474766
4194304	262144	3.170095	3170095
4194304	524288	0.981668	981668
4194304	1048576	0.911163	911164
4194304	2097152	0.871814	871813
