size	stride	elapsed(s)	cycles
4096	1	0.001004	1005
4096	2	0.000931	931
4096	4	0.000925	924
4096	8	0.000917	918
4096	16	0.000913	912
4096	32	0.000914	914
4096	64	0.000845	845
4096	128	0.000801	800
4096	256	0.000823	823
4096	512	0.000813	812
4096	1024	0.000788	788
4096	2048	0.000790	790
8192	1	0.001924	1924
8192	2	0.001821	1821
8192	4	0.001846	1846
8192	8	0.001809	1808
8192	16	0.001842	1842
8192	32	0.001827	1827
8192	64	0.001747	1746
8192	128	0.001690	1690
8192	256	0.001661	1660
8192	512	0.001629	1628
8192	1024	0.001623	1623
8192	2048	0.001675	1675
8192	4096	0.001683	1683
16384	1	0.003746	3746
16384	2	0.003700	3700
16384	4	0.003689	3689
16384	8	0.003580	3580
16384	16	0.003694	3694
16384	32	0.003698	3698
16384	64	0.003625	3625
16384	128	0.003590	3590
16384	256	0.003352	3352
16384	512	0.003287	3288
16384	1024	0.003257	3258
16384	2048	0.003426	3427
16384	4096	0.003560	3560
16384	8192	0.003410	3410
32768	1	0.007262	7262
32768	2	0.007254	7255
32768	4	0.007247	7248
32768	8	0.007212	7212
32768	16	0.007025	7025
32768	32	0.006528	6528
32768	64	0.007319	7319
32768	128	0.007202	7202
32768	256	0.007122	7122
32768	512	0.006701	6701
32768	1024	0.006570	6569
32768	2048	0.006742	6742
32768	4096	0.007224	7223
32768	8192	0.007118	7118
32768	16384	0.006809	6809
65536	1	0.013016	13016
65536	2	0.012471	12471
65536	4	0.014275	14275
65536	8	0.014696	14696
65536	16	0.014538	14538
65536	32	0.014222	14223
65536	64	0.012211	12211
65536	128	0.012287	12287
65536	256	0.012436	12436
65536	512	0.012615	12615
65536	1024	0.012157	12157
65536	2048	0.014366	14366
65536	4096	0.033004	33004
65536	8192	0.014462	14462
65536	16384	0.014239	14239
65536	32768	0.013626	13626
131072	1	0.025983	25982
131072	2	0.024835	24835
131072	4	0.028556	28556
131072	8	0.029349	29349
131072	16	0.028856	28856
131072	32	0.028343	28343
131072	64	0.024287	24287
131072	128	0.024337	24337
131072	256	0.024644	24644
131072	512	0.024837	24837
131072	1024	0.024815	24815
131072	2048	0.063207	63207
131072	4096	0.107901	107901
131072	8192	0.066273	66273
