size	stride	elapsed(s)	cycles
4096	1	0.000941	942
4096	2	0.000929	929
4096	4	0.000921	921
4096	8	0.000891	891
4096	16	0.000870	870
4096	32	0.000909	909
4096	64	0.000870	870
4096	128	0.000834	835
4096	256	0.000822	822
4096	512	0.000817	816
4096	1024	0.000759	758
4096	2048	0.000796	796
8192	1	0.001883	1883
8192	2	0.001864	1864
8192	4	0.001850	1850
8192	8	0.001803	1804
8192	16	0.001855	1855
8192	32	0.001802	1802
8192	64	0.001759	1759
8192	128	0.001753	1753
8192	256	0.001683	1684
8192	512	0.001628	1628
8192	1024	0.001624	1624
8192	2048	0.001704	1704
8192	4096	0.001688	1688
16384	1	0.003760	3760
16384	2	0.003703	3702
16384	4	0.003692	3692
16384	8	0.003574	3574
16384	16	0.003711	3710
16384	32	0.003668	3668
16384	64	0.003612	3612
16384	128	0.003681	3681
16384	256	0.003437	3437
16384	512	0.003325	3325
16384	1024	0.003284	3284
16384	2048	0.003436	3435
16384	4096	0.003586	3586
16384	8192	0.003411	3411
32768	1	0.007376	7375
32768	2	0.007248	7248
32768	4	0.007218	7218
32768	8	0.007140	7140
32768	16	0.007022	7022
32768	32	0.006645	6645
32768	64	0.006425	6425
32768	128	0.007384	7384
32768	256	0.007524	7524
32768	512	0.006701	6700
32768	1024	0.006571	6571
32768	2048	0.006737	6737
32768	4096	0.007225	7225
32768	8192	0.007121	7121
32768	16384	0.006816	6815
65536	1	0.013050	13049
65536	2	0.012492	12493
65536	4	0.014223	14223
65536	8	0.014729	14729
65536	16	0.014355	14355
65536	32	0.014109	14109
65536	64	0.012466	12466
65536	128	0.012930	12930
65536	256	0.013658	13658
65536	512	0.012633	12633
65536	1024	0.012154	12154
65536	2048	0.031802	31803
65536	4096	0.033176	33176
65536	8192	0.014447	14446
65536	16384	0.014241	14241
65536	32768	0.013609	13610
131072	1	0.026014	26014
131072	2	0.024900	24900
131072	4	0.028401	28401
131072	8	0.029350	29350
131072	16	0.028631	28631
131072	32	0.028069	28069
131072	64	0.025173	25173
131072	128	0.026615	26615
131072	256	0.028068	28067
131072	512	0.026601	26602
131072	1024	0.028235	28234
131072	2048	0.074522	74523
131072	4096	0.116447	116448
131072	8192	0.066391	66392
131072	16384	0.028911	28911
131072	32768	0.028473	28473
131072	65536	0.027244	27244
262144	1	0.052159	52159
262144	2	0.049817	49817
262144	4	0.056742	56742
262144	8	0.058602	58602
262144	16	0.057001	57001
262144	32	0.055283	55283
262144	64	0.052491	52491
262144	128	0.059066	59066
262144	256	0.066704	66704
262144	512	0.066423	66423
262144	1024	0.069638	69637
262144	2048	0.141124	141124
262144	4096	0.235536	235537
262144	8192	0.216242	216241
262144	16384	0.132551	132551
262144	32768	0.057783	57783
262144	65536	0.056961	56961
262144	131072	0.054548	54547
524288	1	0.104380	104381
524288	2	0.099557	99557
524288	4	0.113326	113325
524288	8	0.117019	117020
524288	16	0.113575	113575
524288	32	0.109680	109680
524288	64	0.109958	109958
524288	128	0.136374	136374
524288	256	0.164885	164885
524288	512	0.168797	168797
524288	1024	0.175695	175695
524288	2048	0.163789	163789
524288	4096	0.461546	461546
524288	8192	0.451169	451168
524288	16384	0.491805	491805
524288	32768	0.287528	287529
524288	65536	0.120125	120125
524288	131072	0.111646	111646
524288	262144	0.106659	106659
1048576	1	0.204579	204579
1048576	2	0.194963	194963
1048576	4	0.221887	221888
1048576	8	0.230587	230586
1048576	16	0.222256	222256
1048576	32	0.215006	215006
1048576	64	0.216793	216793
1048576	128	0.272602	272602
1048576	256	0.338547	338547
1048576	512	0.349182	349181
1048576	1024	0.360521	360521
1048576	2048	0.320200	320200
1048576	4096	0.963444	963444
1048576	8192	0.916451	916452
1048576	16384	0.914313	914313
1048576	32768	0.844430	844431
1048576	65536	0.590904	590904
1048576	131072	0.245383	245383
1048576	262144	0.227792	227792
1048576	524288	0.217919	217919
2097152	1	0.417519	417519
2097152	2	0.398017	398017
2097152	4	0.452805	452805
2097152	8	0.467653	467652
2097152	16	0.453416	453416
2097152	32	0.438629	438629
2097152	64	0.442379	442379
2097152	128	0.556301	556300
2097152	256	0.692125	692125
2097152	512	0.717866	717865
2097152	1024	0.735406	735406
2097152	2048	0.657734	657734
2097152	4096	1.889501	1889501
2097152	8192	1.830585	1830585
2097152	16384	1.928737	1928737
2097152	32768	1.713673	1713674
2097152	65536	1.732997	1732996
2097152	131072	1.184277	1184277
2097152	262144	0.487915	487916
2097152	524288	0.456351	456350
2097152	1048576	0.435893	435893
4194304	1	0.834932	834931
4194304	2	0.797255	797255
4194304	4	0.906163	906163
4194304	8	0.935666	935665
4194304	16	0.908943	908943
4194304	32	0.879319	879319
4194304	64	0.900615	900615
4194304	128	1.129607	1129607
4194304	256	1.414206	1414206
4194304	512	1.470525	1470525
4194304	1024	1.537635	1537634
4194304	2048	1.337753	1337752
4194304	4096	3.752091	3752090
4194304	8192	3.702577	3702577
4194304	16384	3.903345	3903345
4194304	32768	3.800975	3800975
4194304	65536	3.992847	3992846
4194304	131072	3.960044	3960045
4194304	262144	3.130500	3130500
4194304	524288	0.975380	975380
4194304	1048576	0.911161	911161
4194304	2097152	0.871518	871517
