size	stride	elapsed(s)	cycles
4096	1	0.000989	990
4096	2	0.000965	965
4096	4	0.000971	971
4096	8	0.000962	962
4096	16	0.000990	990
4096	32	0.001128	1128
4096	64	0.001098	1098
4096	128	0.001482	1482
4096	256	0.000830	830
4096	512	0.000813	813
4096	1024	0.000788	788
4096	2048	0.000790	790
8192	1	0.001941	1941
8192	2	0.001842	1842
8192	4	0.001873	1873
8192	8	0.001854	1854
8192	16	0.001918	1917
8192	32	0.002001	2002
8192	64	0.001999	1998
8192	128	0.002095	2095
8192	256	0.001660	1660
8192	512	0.001627	1627
8192	1024	0.001624	1623
8192	2048	0.001673	1673
8192	4096	0.001684	1685
16384	1	0.003732	3733
16384	2	0.003721	3721
16384	4	0.003714	3715
16384	8	0.003621	3621
16384	16	0.003782	3781
16384	32	0.003855	3855
16384	64	0.003962	3962
16384	128	0.003980	3980
16384	256	0.003348	3348
16384	512	0.003322	3322
16384	1024	0.003281	3282
16384	2048	0.003430	3430
16384	4096	0.003587	3587
16384	8192	0.003400	3400
32768	1	0.007396	7397
32768	2	0.007274	7273
32768	4	0.007241	7240
32768	8	0.007160	7160
32768	16	0.007018	7018
32768	32	0.007535	7535
32768	64	0.007609	7609
32768	128	0.007772	7772
32768	256	0.007184	7184
32768	512	0.006707	6707
32768	1024	0.006571	6571
32768	2048	0.006720	6719
32768	4096	0.007198	7198
32768	8192	0.007121	7120
32768	16384	0.006810	6809
65536	1	0.012989	12989
65536	2	0.012409	12409
65536	4	0.014277	14277
65536	8	0.014604	14604
65536	16	0.014327	14327
65536	32	0.014335	14335
65536	64	0.012824	12824
65536	128	0.014122	14122
65536	256	0.013957	13957
65536	512	0.014477	14477
65536	1024	0.014570	14570
65536	2048	0.045627	45627
65536	4096	0.047544	47544
65536	8192	0.014466	14466
65536	16384	0.014238	14238
65536	32768	0.013627	13626
131072	1	0.025985	25985
131072	2	0.024844	24844
131072	4	0.028567	28567
131072	8	0.029197	29197
131072	16	0.028632	28632
131072	32	0.028600	28601
131072	64	0.025732	25731
131072	128	0.028590	28591
131072	256	0.028283	28283
131072	512	0.029002	29002
131072	1024	0.030359	30359
131072	2048	0.081447	81448
131072	4096	0.122362	122362
131072	8192	0.102701	102700
131072	16384	0.028897	28897
131072	32768	0.028477	28477
131072	65536	0.027239	27239
262144	1	0.052254	52253
262144	2	0.049676	49677
262144	4	0.057190	57190
262144	8	0.058224	58224
262144	16	0.057090	57090
262144	32	0.056324	56324
262144	64	0.051760	51760
262144	128	0.058031	58031
262144	256	0.062394	62394
262144	512	0.064636	64636
262144	1024	0.067844	67844
262144	2048	0.150705	150705
262144	4096	0.238816	238817
262144	8192	0.228183	228182
262144	16384	0.132766	132766
262144	32768	0.057787	57788
262144	65536	0.057160	57161
262144	131072	0.054497	54497
524288	1	0.104182	104182
524288	2	0.099448	99449
524288	4	0.114690	114691
524288	8	0.116350	116350
524288	16	0.115135	115135
524288	32	0.112179	112179
524288	64	0.108882	108882
524288	128	0.135220	135220
524288	256	0.158099	158100
524288	512	0.163980	163980
524288	1024	0.168748	168748
524288	2048	0.165434	165433
524288	4096	0.471471	471471
524288	8192	0.459480	459480
524288	16384	0.487678	487678
524288	32768	0.294187	294187
524288	65536	0.122691	122691
524288	131072	0.113891	113891
524288	262144	0.108966	108967
1048576	1	0.208359	208359
1048576	2	0.198946	198945
1048576	4	0.229267	229267
1048576	8	0.232687	232687
1048576	16	0.230580	230580
1048576	32	0.224647	224647
1048576	64	0.219429	219429
1048576	128	0.276916	276916
1048576	256	0.333797	333797
1048576	512	0.347198	347198
1048576	1024	0.357226	357226
1048576	2048	0.325160	325160
1048576	4096	0.946606	946606
1048576	8192	0.939947	939947
1048576	16384	0.969649	969649
1048576	32768	0.864467	864466
1048576	65536	0.590035	590035
1048576	131072	0.245430	245430
1048576	262144	0.227799	227799
1048576	524288	0.218434	218435
2097152	1	0.416963	416963
2097152	2	0.397991	397990
2097152	4	0.458679	458679
2097152	8	0.465689	465689
2097152	16	0.461657	461656
2097152	32	0.450010	450009
2097152	64	0.440228	440228
2097152	128	0.556854	556854
2097152	256	0.668025	668025
2097152	512	0.698414	698415
2097152	1024	0.711189	711189
2097152	2048	0.647279	647278
2097152	4096	1.892588	1892587
2097152	8192	1.855719	1855719
2097152	16384	1.887723	1887722
2097152	32768	1.872894	1872894
2097152	65536	1.859279	1859279
2097152	131072	1.160933	1160934
2097152	262144	0.483512	483513
2097152	524288	0.455736	455735
2097152	1048576	0.436150	436151
4194304	1	0.834130	834130
4194304	2	0.796546	796546
4194304	4	0.917410	917410
4194304	8	0.932961	932961
4194304	16	0.928765	928764
4194304	32	0.912659	912659
4194304	64	0.916911	916910
4194304	128	1.181683	1181683
4194304	256	1.441577	1441578
4194304	512	1.471568	1471568
4194304	1024	1.483392	1483392
4194304	2048	1.429522	1429522
4194304	4096	3.772120	3772120
4194304	8192	3.746745	3746745
4194304	16384	3.861577	3861577
4194304	32768	3.863029	3863029
4194304	65536	3.955715	3955714
4194304	131072	3.754384	3754383
4194304	262144	2.957323	2957323
4194304	524288	0.982086	982085
4194304	1048576	0.911180	911180
4194304	2097152	0.872679	872679
