size	stride	elapsed(s)	cycles
4096	1	0.001005	1005
4096	2	0.000931	931
4096	4	0.000931	931
4096	8	0.000914	914
4096	16	0.000922	922
4096	32	0.000898	898
4096	64	0.000882	882
4096	128	0.000831	831
4096	256	0.000857	857
4096	512	0.000842	843
4096	1024	0.000854	854
4096	2048	0.000943	943
8192	1	0.001933	1933
8192	2	0.001855	1855
8192	4	0.001857	1857
8192	8	0.001804	1804
8192	16	0.001832	1832
8192	32	0.001823	1823
8192	64	0.001782	1782
8192	128	0.001718	1718
8192	256	0.001701	1701
8192	512	0.001718	1718
8192	1024	0.001746	1746
8192	2048	0.001901	1901
8192	4096	0.002214	2214
16384	1	0.003805	3805
16384	2	0.003669	3669
16384	4	0.003758	3758
16384	8	0.003739	3739
16384	16	0.003597	3598
16384	32	0.003663	3664
16384	64	0.003654	3653
16384	128	0.003511	3511
16384	256	0.003635	3635
16384	512	0.003546	3546
16384	1024	0.003503	3502
16384	2048	0.003931	3930
16384	4096	0.004347	4347
16384	8192	0.004464	4464
32768	1	0.007313	7313
32768	2	0.007310	7310
32768	4	0.007309	7309
32768	8	0.007204	7204
32768	16	0.007157	7156
32768	32	0.007379	7379
32768	64	0.007338	7339
32768	128	0.007279	7279
32768	256	0.007336	7336
32768	512	0.007156	7156
32768	1024	0.006900	6900
32768	2048	0.007947	7947
32768	4096	0.009978	9977
32768	8192	0.008680	8680
32768	16384	0.008836	8836
65536	1	0.012984	12984
65536	2	0.012422	12422
65536	4	0.014229	14229
65536	8	0.014667	14667
65536	16	0.014233	14232
65536	32	0.014852	14852
65536	64	0.012158	12158
65536	128	0.012419	12419
65536	256	0.012796	12795
65536	512	0.013472	13473
65536	1024	0.014231	14232
65536	2048	0.018737	18737
65536	4096	0.057427	57427
65536	8192	0.019772	19772
65536	16384	0.017361	17361
65536	32768	0.017680	17680
131072	1	0.025979	25979
131072	2	0.024806	24806
131072	4	0.028548	28548
131072	8	0.029278	29278
131072	16	0.028428	28429
131072	32	0.029646	29646
131072	64	0.024242	24242
131072	128	0.024703	24703
131072	256	0.025363	25362
131072	512	0.026576	26576
131072	1024	0.029335	29335
131072	2048	0.033853	33854
131072	4096	0.116910	116911
131072	8192	0.097272	97272
131072	16384	0.039716	39716
131072	32768	0.034717	34717
131072	65536	0.035337	35337
262144	1	0.052019	52019
262144	2	0.049697	49698
262144	4	0.057102	57101
262144	8	0.058750	58750
262144	16	0.057599	57600
262144	32	0.058632	58631
262144	64	0.051339	51339
262144	128	0.057227	57227
262144	256	0.064003	64003
262144	512	0.071089	71090
262144	1024	0.085674	85674
262144	2048	0.107817	107817
262144	4096	0.176072	176072
262144	8192	0.157222	157222
262144	16384	0.208752	208752
262144	32768	0.147429	147428
262144	65536	0.069445	69445
262144	131072	0.070692	70691
524288	1	0.104294	104294
524288	2	0.099671	99672
524288	4	0.115043	115043
524288	8	0.118331	118331
524288	16	0.117722	117722
524288	32	0.112884	112883
524288	64	0.112406	112407
524288	128	0.140172	140172
524288	256	0.170622	170621
524288	512	0.192211	192211
524288	1024	0.227501	227500
524288	2048	0.283493	283493
524288	4096	0.444462	444461
524288	8192	0.425836	425836
524288	16384	0.455472	455472
524288	32768	0.422840	422840
524288	65536	0.356536	356535
524288	131072	0.188166	188166
524288	262144	0.141415	141415
1048576	1	0.208452	208453
1048576	2	0.199218	199219
1048576	4	0.230185	230185
1048576	8	0.235752	235751
1048576	16	0.230607	230607
1048576	32	0.222824	222823
1048576	64	0.225901	225902
1048576	128	0.287631	287631
1048576	256	0.356148	356147
1048576	512	0.399987	399987
1048576	1024	0.466322	466322
1048576	2048	0.594340	594340
1048576	4096	0.925529	925528
1048576	8192	0.940127	940126
1048576	16384	0.979633	979632
1048576	32768	0.921599	921599
1048576	65536	0.863480	863480
1048576	131072	0.702562	702562
1048576	262144	0.271791	271791
1048576	524288	0.276730	276730
2097152	1	0.410998	410997
2097152	2	0.399223	399223
2097152	4	0.460181	460180
2097152	8	0.462933	462934
2097152	16	0.460766	460765
2097152	32	0.441396	441396
2097152	64	0.441249	441248
2097152	128	0.559552	559553
2097152	256	0.698952	698952
2097152	512	0.794334	794334
2097152	1024	0.908204	908204
2097152	2048	1.136629	1136628
2097152	4096	1.789531	1789531
2097152	8192	1.890185	1890185
2097152	16384	1.921693	1921693
2097152	32768	1.827992	1827992
2097152	65536	1.849978	1849978
2097152	131072	1.682149	1682149
2097152	262144	0.695398	695398
2097152	524288	0.554613	554613
2097152	1048576	0.561600	561600
4194304	1	0.832816	832816
4194304	2	0.798585	798585
4194304	4	0.921220	921220
4194304	8	0.949124	949123
4194304	16	0.946185	946184
4194304	32	0.913962	913962
4194304	64	0.916843	916843
4194304	128	1.187812	1187812
4194304	256	1.491725	1491725
4194304	512	1.704011	1704011
4194304	1024	1.989437	1989438
4194304	2048	2.479359	2479359
4194304	4096	3.922654	3922654
4194304	8192	3.869181	3869182
4194304	16384	4.062186	4062186
4194304	32768	3.877276	3877276
4194304	65536	3.870578	3870578
4194304	131072	3.806870	3806871
4194304	262144	3.423787	3423787
4194304	524288	1.379488	1379488
4194304	1048576	1.109320	1109320
4194304	2097152	1.119503	1119503
