size	stride	elapsed(s)	cycles
4096	1	0.001003	1004
4096	2	0.000926	926
4096	4	0.000916	917
4096	8	0.000869	869
4096	16	0.000908	908
4096	32	0.000908	908
4096	64	0.000859	859
4096	128	0.000801	800
4096	256	0.000828	828
4096	512	0.000813	813
4096	1024	0.000790	790
4096	2048	0.000791	791
8192	1	0.001913	1913
8192	2	0.001821	1821
8192	4	0.001842	1841
8192	8	0.001792	1792
8192	16	0.001833	1833
8192	32	0.001811	1811
8192	64	0.001783	1783
8192	128	0.001719	1719
8192	256	0.001664	1664
8192	512	0.001629	1629
8192	1024	0.001624	1624
8192	2048	0.001675	1676
8192	4096	0.001684	1684
16384	1	0.003719	3719
16384	2	0.003702	3703
16384	4	0.003686	3686
16384	8	0.003488	3488
16384	16	0.003702	3702
16384	32	0.003739	3739
16384	64	0.003615	3614
16384	128	0.003718	3718
16384	256	0.003352	3353
16384	512	0.003322	3322
16384	1024	0.003281	3281
16384	2048	0.003431	3431
16384	4096	0.003589	3589
16384	8192	0.003403	3403
32768	1	0.007366	7366
32768	2	0.007281	7281
32768	4	0.007254	7254
32768	8	0.007088	7087
32768	16	0.007126	7126
32768	32	0.007384	7384
32768	64	0.007359	7359
32768	128	0.007288	7288
32768	256	0.007187	7187
32768	512	0.006705	6705
32768	1024	0.006570	6570
32768	2048	0.006719	6719
32768	4096	0.007224	7224
32768	8192	0.007123	7123
32768	16384	0.006802	6802
65536	1	0.012989	12990
65536	2	0.012426	12426
65536	4	0.014071	14071
65536	8	0.014589	14589
65536	16	0.014208	14208
65536	32	0.014058	14057
65536	64	0.012150	12150
65536	128	0.012425	12425
65536	256	0.012408	12408
65536	512	0.012610	12610
65536	1024	0.012298	12298
65536	2048	0.019389	19389
65536	4096	0.033209	33209
65536	8192	0.014461	14462
65536	16384	0.014238	14238
65536	32768	0.013622	13622
131072	1	0.025976	25975
131072	2	0.024826	24826
131072	4	0.028060	28061
131072	8	0.029209	29209
131072	16	0.028480	28480
131072	32	0.028235	28236
131072	64	0.024553	24553
131072	128	0.025289	25289
131072	256	0.024558	24559
131072	512	0.024818	24818
131072	1024	0.024832	24832
131072	2048	0.028978	28978
131072	4096	0.107833	107833
131072	8192	0.066417	66416
131072	16384	0.028891	28891
131072	32768	0.028483	28483
131072	65536	0.027216	27216
262144	1	0.052106	52106
262144	2	0.049816	49816
262144	4	0.056269	56270
262144	8	0.058331	58331
262144	16	0.056861	56861
262144	32	0.056515	56514
262144	64	0.052978	52978
262144	128	0.059513	59514
262144	256	0.061185	61185
262144	512	0.062751	62751
262144	1024	0.064208	64208
262144	2048	0.141704	141704
262144	4096	0.221156	221156
262144	8192	0.216475	216475
262144	16384	0.132241	132240
262144	32768	0.057780	57780
262144	65536	0.056951	56951
262144	131072	0.054459	54458
524288	1	0.104250	104251
524288	2	0.099586	99586
524288	4	0.112751	112751
524288	8	0.115904	115904
524288	16	0.113407	113407
524288	32	0.112798	112798
524288	64	0.111347	111348
524288	128	0.139850	139850
524288	256	0.162608	162608
524288	512	0.167502	167502
524288	1024	0.172094	172094
524288	2048	0.158900	158900
524288	4096	0.446617	446617
524288	8192	0.423071	423070
524288	16384	0.451223	451223
524288	32768	0.293519	293519
524288	65536	0.122713	122713
524288	131072	0.113905	113905
524288	262144	0.109004	109004
1048576	1	0.208548	208548
1048576	2	0.199201	199200
1048576	4	0.225420	225419
1048576	8	0.231752	231752
1048576	16	0.227209	227209
1048576	32	0.226263	226263
1048576	64	0.224416	224416
1048576	128	0.285141	285140
1048576	256	0.339481	339481
1048576	512	0.357125	357125
1048576	1024	0.366353	366353
1048576	2048	0.328942	328942
1048576	4096	0.925551	925550
1048576	8192	0.912059	912059
1048576	16384	1.017598	1017598
1048576	32768	0.926749	926749
1048576	65536	0.580095	580095
1048576	131072	0.240916	240915
1048576	262144	0.223166	223166
1048576	524288	0.213820	213820
2097152	1	0.414596	414596
2097152	2	0.397867	397867
2097152	4	0.443879	443880
2097152	8	0.459405	459405
2097152	16	0.454532	454532
2097152	32	0.451236	451235
2097152	64	0.438901	438901
2097152	128	0.559572	559572
2097152	256	0.666447	666447
2097152	512	0.702699	702699
2097152	1024	0.726566	726565
2097152	2048	0.655720	655719
2097152	4096	1.894397	1894397
2097152	8192	1.839328	1839328
2097152	16384	1.910546	1910546
2097152	32768	1.847264	1847264
2097152	65536	1.729385	1729385
2097152	131072	1.186331	1186330
2097152	262144	0.491523	491522
2097152	524288	0.452164	452164
2097152	1048576	0.427042	427041
4194304	1	0.827279	827279
4194304	2	0.792264	792265
4194304	4	0.884677	884677
4194304	8	0.910784	910785
4194304	16	0.911478	911478
4194304	32	0.914226	914226
4194304	64	0.926862	926862
4194304	128	1.175414	1175414
4194304	256	1.406387	1406387
4194304	512	1.579085	1579085
4194304	1024	1.532492	1532491
4194304	2048	1.309578	1309577
4194304	4096	3.704294	3704294
4194304	8192	3.725376	3725376
4194304	16384	3.832918	3832918
4194304	32768	3.881157	3881157
4194304	65536	4.111187	4111187
4194304	131072	4.319632	4319632
4194304	262144	2.326575	2326575
4194304	524288	0.982053	982053
4194304	1048576	0.911751	911751
4194304	2097152	0.867603	867603
