size	stride	elapsed(s)	cycles
4096	1	0.000974	974
4096	2	0.000926	926
4096	4	0.000917	917
4096	8	0.000890	890
4096	16	0.000916	917
4096	32	0.000897	898
4096	64	0.000862	863
4096	128	0.000847	847
4096	256	0.000830	830
4096	512	0.000783	783
4096	1024	0.000789	790
4096	2048	0.000791	791
8192	1	0.001929	1928
8192	2	0.001855	1855
8192	4	0.001842	1842
8192	8	0.001757	1757
8192	16	0.001839	1840
8192	32	0.001840	1840
8192	64	0.001806	1805
8192	128	0.001700	1700
8192	256	0.001630	1630
8192	512	0.001660	1660
8192	1024	0.001595	1594
8192	2048	0.001676	1676
8192	4096	0.001721	1722
16384	1	0.003910	3910
16384	2	0.003710	3710
16384	4	0.003646	3646
16384	8	0.003605	3605
16384	16	0.003696	3697
16384	32	0.003677	3677
16384	64	0.003636	3636
16384	128	0.003633	3633
16384	256	0.003374	3374
16384	512	0.003286	3286
16384	1024	0.003256	3257
16384	2048	0.003436	3436
16384	4096	0.003558	3558
16384	8192	0.003413	3413
32768	1	0.007315	7314
32768	2	0.007302	7303
32768	4	0.007292	7293
32768	8	0.007189	7189
32768	16	0.007185	7185
32768	32	0.007556	7556
32768	64	0.007513	7513
32768	128	0.007945	7945
32768	256	0.007184	7184
32768	512	0.006706	6706
32768	1024	0.006571	6570
32768	2048	0.006704	6704
32768	4096	0.007257	7257
32768	8192	0.007529	7529
32768	16384	0.006816	6816
65536	1	0.013015	13015
65536	2	0.012466	12467
65536	4	0.014119	14118
65536	8	0.014604	14603
65536	16	0.014244	14244
65536	32	0.014199	14199
65536	64	0.012539	12538
65536	128	0.013070	13070
65536	256	0.012410	12410
65536	512	0.012662	12662
65536	1024	0.012202	12201
65536	2048	0.014362	14362
65536	4096	0.053088	53087
65536	8192	0.014458	14458
65536	16384	0.014327	14327
65536	32768	0.013636	13636
131072	1	0.026014	26015
131072	2	0.024900	24900
131072	4	0.028238	28238
131072	8	0.029349	29349
131072	16	0.028614	28614
131072	32	0.028472	28473
131072	64	0.025727	25727
131072	128	0.027843	27843
131072	256	0.026136	26135
131072	512	0.026911	26911
131072	1024	0.027472	27472
131072	2048	0.070566	70567
131072	4096	0.108077	108076
131072	8192	0.099901	99901
131072	16384	0.028895	28895
131072	32768	0.028470	28471
131072	65536	0.027185	27185
262144	1	0.052116	52115
262144	2	0.049818	49819
262144	4	0.056434	56434
262144	8	0.058293	58293
262144	16	0.056754	56755
262144	32	0.056232	56232
262144	64	0.053151	53150
262144	128	0.060139	60139
262144	256	0.061330	61330
262144	512	0.063607	63607
262144	1024	0.066118	66118
262144	2048	0.073238	73238
262144	4096	0.215289	215288
262144	8192	0.214156	214155
262144	16384	0.132531	132531
262144	32768	0.057874	57873
262144	65536	0.056941	56941
262144	131072	0.054460	54460
524288	1	0.104325	104325
524288	2	0.099657	99657
524288	4	0.112758	112758
524288	8	0.115877	115877
524288	16	0.112892	112892
524288	32	0.111488	111488
524288	64	0.112190	112190
524288	128	0.140837	140837
524288	256	0.162978	162978
524288	512	0.168124	168124
524288	1024	0.173123	173123
524288	2048	0.164201	164201
524288	4096	0.443129	443128
524288	8192	0.480160	480161
524288	16384	0.505600	505600
524288	32768	0.337515	337515
524288	65536	0.122697	122697
524288	131072	0.113887	113887
524288	262144	0.108908	108909
1048576	1	0.208615	208615
1048576	2	0.199312	199313
1048576	4	0.225495	225495
1048576	8	0.231915	231915
1048576	16	0.226156	226156
1048576	32	0.223794	223794
1048576	64	0.227176	227176
1048576	128	0.287024	287024
1048576	256	0.339759	339759
1048576	512	0.356845	356845
1048576	1024	0.368028	368027
1048576	2048	0.329463	329463
1048576	4096	0.940528	940528
1048576	8192	0.936800	936800
1048576	16384	0.981147	981147
1048576	32768	0.962716	962716
1048576	65536	0.590859	590860
1048576	131072	0.245805	245805
1048576	262144	0.229225	229225
1048576	524288	0.217949	217949
2097152	1	0.417074	417074
2097152	2	0.398257	398257
2097152	4	0.450690	450689
2097152	8	0.463176	463175
2097152	16	0.451349	451349
2097152	32	0.445598	445598
2097152	64	0.450547	450546
2097152	128	0.569256	569256
2097152	256	0.680595	680595
2097152	512	0.717725	717726
2097152	1024	0.734890	734890
2097152	2048	0.652954	652954
2097152	4096	1.889867	1889868
2097152	8192	1.884537	1884537
2097152	16384	1.900571	1900571
2097152	32768	1.849739	1849740
2097152	65536	1.936834	1936834
2097152	131072	1.184344	1184344
2097152	262144	0.490827	490827
2097152	524288	0.455527	455527
2097152	1048576	0.429670	429670
4194304	1	0.816548	816548
4194304	2	0.779835	779835
4194304	4	0.882544	882544
4194304	8	0.906827	906827
4194304	16	0.884562	884561
4194304	32	0.879266	879266
4194304	64	0.909577	909577
4194304	128	1.150538	1150539
4194304	256	1.402970	1402970
4194304	512	1.600184	1600184
4194304	1024	1.573532	1573532
4194304	2048	1.286407	1286406
4194304	4096	3.791567	3791567
4194304	8192	3.749424	3749424
4194304	16384	3.842737	3842738
4194304	32768	3.794432	3794432
4194304	65536	3.762314	3762314
4194304	131072	3.795678	3795679
4194304	262144	2.313611	2313612
4194304	524288	0.975776	975776
4194304	1048576	0.911141	911141
4194304	2097152	0.873152	873152
