-e # 1
-n 1 
-n 0.000179 
-n 0.000186 
-n 0.002048 
-n 0.015643 

-e # 2
-n 2 
-n 0.000107 
-n 0.000141 
-n 0.002954 
-n 0.031279 

-e # 4
-n 4 
-n 0.000034 
-n 0.000154 
-n 0.004651 
-n 0.062660 

-e # 8
-n 8 
-n 0.000033 
-n 0.000142 
-n 0.008068 
-n 0.125357 

-e # 16
-n 16 
-n 0.000034 
-n 0.000144 
-n 0.015187 
-n 0.250743 

-e # 32
-n 32 
-n 0.000032 
-n 0.000143 
-n 0.023419 
-n 0.500890 

-e # 64
-n 64 
-n 0.000037 
-n 0.000155 
-n 0.028299 
-n 0.999560 

-e # 128
-n 128 
-n 0.000023 
-n 0.000073 
-n 0.040069 
-n 1.030576 

-e # 256
-n 256 
-n 0.000018 
-n 0.000024 
-n 0.000303 
-n 1.037527 

-e # 512
-n 512 
-n 0.000009 
-n 0.000017 
-n 0.000143 
-n 1.052500 

-e # 1024
-n 1024 
-n 0.000009 
-n 0.000012 
-n 0.000056 
-n 1.009007 

-e # 2048
-n 2048 
-n 0.000008 
-n 0.000005 
-n 0.000012 
-n 1.951066 

-e # 4096
-n 4096 
-n 0.000008 
-n 0.000004 
-n 0.000007 
-n 1.042001 

-e # 8192
-n 8192 
-n 0.0 
-n 0.000003 
-n 0.000002 
-n 0.000007 

-e # 16384
-n 16384 
-n 0.0 
-n 0.0 
-n 0.000002 
-n 0.000001 

-e # 32768
-n 32768 
-n 0.0 
-n 0.0 
-n 0.0 
-n 0.000001 

